Слово,Орфоэпическая транскрипция,Слово с ударением
самолюбиво,* s a2 m = a2 * l' u1 b' + i0 v + a4,самолюби0во
самом,* s a0 m / a4 m,са0мом
самому,* s a0 m / a1 m u0,са0мому
самостоятельно,* s a2 m = a2 * s t + a1 j + a0 + t' i4 l' n + a4,самостоя0тельно
самочувствия,* s a2 m = a1 * ch u0 f s t + v' i4 / j,самочу0вствия
самые,* s a0 m / y4 - i4,са0мые
самый,* s a0 m / i4 j,са0мый
самым,* s a0 m / y4 m,са0мым
самыми,* s a0 m / y4 m' i4,са0мыми
самых,* s a0 m / y4 h,са0мых
санаторий,* p a2 d m a1 s k o0 v,санато0рий
санатория,* s a2 n a1 t o0 r' + i4 j / a4,санато0рия
санаторской,* s a2 n a1 t o0 r + s k / a4 j,санато0рской
сарай,* s a1 r a0 = j,сара0й
сахар,* s a0 h a4 r,са0хар
сахара,* s a0 h a4 r / a4,са0хара
сашка,* s a0 sh k / a4,са0шка
сбегать,~ z * b' e0 g + a4 / d',сбе0гать
сбегаю,~ z * b' e0 g + a4 / j u4,сбе0гаю
сбегая,~ z * b' i1 g + a0 + - i4,сбега0я
сбежал,~ z * b' i1 zh + a0 + l,сбежа0л
сбежать,~ z * b' i1 zh + a0 / t',сбежа0ть
сберегается,~ z * b' i1 r' i1 g + a0 / j i4 ^ c a4,сберега0ется
сберечь,~ z * b' i1 r' e0 ch,сбере0чь
сбить,~ z * b' i0 / t',сби0ть
сбылась,~ z * b y1 + l / a0 ^ s',сбыла0сь
свадьбе,* s v a0 d' + b' / i4,сва0дьбе
свежей,* s v' e0 zh / y4 j,све0жей
свежему,* s v' e0 zh / y4 m u4,све0жему
свежим,* s v' e0 zh / y4 m,све0жим
свежими,* s v' e0 zh / y4 m' i4,све0жими
свежих,* s v' e0 zh / y4 h,све0жих
свежую,* s v' e0 zh / u4 j u4,све0жую
свекровью,* s v' i1 k r o0 v' / j u4,свекро0вью
сверкали,* s v' i1 r k + a0 l' / i4,сверка0ли
свертками,~ s * v' o0 r t + k / a4 m' i4,све0ртками
сверток,~ s * v' o0 r t + a4 k,све0рток
сверху,~ s * v' e0 r h + u4,све0рху
свершится,~ s * v' i1 r sh / y0 c ^ - a4,сверши0тся
свет,* s v' e0 d,све0т
света,* s v' e0 t / a4,све0та
свете,* s v' e0 t' / i4,све0те
светлоглазый,* s v' i1 t + l = a1 * g l a0 z / y4 j,светлогла0зый
светлые,* s v' e0 t + l / y4 j i4,све0тлые
светом,* s v' e0 t / a4 m,све0том
свидетелями,* s v' i1 d' e0 + t' i4 l' / i4 m' i4,свиде0телями
свистнул,* s v' i0 s + n u4 + l,сви0стнул
свитер,* s v' i0 t y4 r,сви0тер
свободна,* s v a1 b o0 d + n / a4,свобо0дна
свободный,* s v a1 b o0 d + n / y4 j,свобо0дный
сводить,~ s * v a1 d' + i0 / t',своди0ть
своей,* s v a1 / j e0 j,свое0й
своем,* s v a1 j / o0 m,свое0м
своему,* s v o0 / j i4 m,сво0ему
своим,* - v a1 / i0 m,свои0м
своими,* s v a1 / i0 m' i4,свои0ми
своих,* s v a1 / i0 h,свои0х
свой,* - v o0 j,сво0й
свойственно,* s v o0 j s t v' + i4 n + a4,сво0йственно
свойство,* s v o0 + j + s t v / a4,сво0йство
свою,* v a1 j u0 / ch,свою0
своя,* s v a1 j / a0,своя0
свыше,~ s * v y0 sh + y4,свы0ше
связей,* s v' a0 z' / i4 j,свя0зей
связи,* s v' a0 z' / -,свя0зи
связываются,~ s * v' a0 z + y4 v a4 / j u4 ^ c a4,свя0зываются
связь,~ s * v' a0 s',свя0зь
священных,* s v' i1 sc + e0 n / y4 h,свяще0нных
сгибается,~ z * g' i1 b + a0 / - i4 ^ c a4,сгиба0ется
сгибаться,~ z * g' i1 b + a0 / c ^ - a4 -,сгиба0ться
сгибаясь,~ z * g' i1 b + a0 + - i4 ^ s',сгиба0ясь
сгинули,~ z * g' i0 + n u4 + l' / i4,сги0нули
сговаривались,~ z * g a1 v a0 r' + i4 v a4 + l' / i4 ^ s',сгова0ривались
сгорбилась,~ z * g o0 r b' + i4 + l / a4 ^ z',сго0рбилась
сгорит,~ z * g a1 r' / i0 t,сгори0т
сгущалась,~ z * g u1 sc + a0 + l / a4 ^ s',сгуща0лась
сдавать,~ z * d a1 + v a0 / t',сдава0ть
сдача,~ z * d a0 + ch / a4,сда0ча
сдвинул,~ z * d v' i0 + n u4 + l,сдви0нул
сдвинут,~ z * d v' i0 + n u4 + t,сдви0нут
сделав,~ z * d' e0 + l + a4 + f,сде0лав
сделаем,~ d' * e0 l a4 + j / i4 m -,сде0лаем
сделает,~ z * d' e0 l + a4 / j i4 d,сде0лает
сделал,~ z * d' e0 + l + a4 + l,сде0лал
сделали,~ z * d' e0 + l + a4 + l' / i4,сде0лали
сделался,~ z * d' e0 + l + a4 + l ^ s' a4,сде0лался
сделано,~ z * d' e0 + l + a4 n / a4,сде0лано
сделать,~ d' * e0 l + a4 + d' / d,сде0лать
сделаю,~ z * d' e0 l + a4 / j u4,сде0лаю
сдержался,~ z * d' i1 r zh + a0 + l ^ s' a4,сдержа0лся
сдерживают,~ z * d' e0 r zh + y4 v a4 / j u4 d,сде0рживают
сдохнуть,~ z * d o0 h + n u4 / t',сдо0хнуть
сегодня,* s i1 v o0 d n' a4,сего0дня
сегодняшнее,* s' i1 v o0 d n' i4 + sh n' / i4 j i4,сего0дняшнее
седой,* s' i1 d / o0 j,седо0й
седых,* s' i1 d / y0 h,седы0х
сейчас,* a1 v' i0 s' i4 t,сейча0с
секретный,* s' i1 k r' e0 t + n / y4 j,секре0тный
секрету,* s' i1 k r' e0 t / u4,секре0ту
секунд,* s' i1 k u0 n d,секу0нд
секунду,* s' i1 k u0 n d / u4,секу0нду
секунды,* s' i1 k u0 n d / y4,секу0нды
сел,* s' e0 + l,се0л
села,* s' e0 + l / a4,се0ла
селил,* s' i1 l' + i0 + l,сели0л
семей,* s' i1 m' / e0 j,семе0й
семейного,* s' i1 m' e0 j + n / a4 v a4,семе0йного
семейным,* s' i1 m' e0 j + n / y4 m,семе0йным
семейных,* s' i1 m' e0 j + n + y4 h,семе0йных
семейства,* s' i1 m' e0 j + s t v / a4,семе0йства
семь,* c e0 m',се0мь
семьдесят,* s e0 m' * d' i4 s' i4 t,се0мьдесят
сенкевича,* s' i1 n k' + e0 v' + i4 ch / a4,сенке0вича
сентябрь,* s' i1 n t' a0 b r',сентя0брь
сервант,* s' i1 r v a0 n t,серва0нт
серванта,* s' i1 r v a0 n t / a4,серва0нта
сергеевича,* i1 r g' e0 j i4 + - - + ch a4 / i0,серге0евича
сердечным,* s' i1 r d' e0 ch + n / y4 m,серде0чным
сердилась,* s' i1 r d' + i0 + l / a4 ^ s',серди0лась
сердита,* s' i1 r d' + i0 + t / a4,серди0та
сердится,* s' e0 r d' / i4 ^ c a4,се0рдится
сердитыми,* s' i1 r d' + i0 t / y4 m' i4,серди0тыми
сердиться,* s' i1 r d' + i0 / c ^ - a4,серди0ться
сердце,* s' e0 r + c / e4,се0рдце
сердцем,* s' e0 r + c / y4 m,се0рдцем
серебристо,* s' i1 r' i1 b r' + i0 s t + a4,серебри0сто
серого,* s' e0 r / a4 v a4,се0рого
сером,* s' e0 r / a4 m,се0ром
серпуховки,* s' i1 r p u1 h + o0 f + k' / i4,серпухо0вки
серьезно,* s' i1 r' j o0 z + n + a4,серье0зно
серьезное,* - o0 - - - ch + - / i4 - n',се0рьезное
серьезной,* s' i1 r' j o0 z + n / a4 j,серье0зной
серьезному,* s' i1 r' j o0 z + n / a4 m u4,серье0зному
серьезным,* s' i1 r' j o0 z + n / y4 m,серье0зным
сесть,* s' e0 s' / t',се0сть
сетки,* s' e0 t + k' / i4,се0тки
сеялся,* s' e0 + - i4 + l ^ s' a4,се0ялся
сжатый,* zh a0 + t / y4 j,сжа0тый
сжималось,* zh y1 m + a0 + l / a4 ^ s',сжима0лось
сзади,* z a0 d' + i4,сза0ди
сибирь,* s' i0 b' i4 r',си0бирь
сидел,* s' i1 d' + e0 + l,сиде0л
сидела,* c i1 d' + e0 + l / a4,сиде0ла
сидели,* s' i1 d' + e0 + l' / i4,сиде0ли
сидеть,* s' i1 d' + e0 / d',сиде0ть
сидите,* s' i1 d' + i0 + t' i4,сиди0те
сидят,* s' i1 d' / a0 d,сидя0т
сизовато,* s' i1 z + a1 v a0 t + a4,сизова0то
сил,* s' i0 l,си0л
сила,* s' i0 l / a4,си0ла
силой,* s' i0 l / a4 j,си0лой
силы,* s' i0 l / y4,си0лы
сильнее,* s' i1 l' + n' + e0 - i4,сильне0е
сильнейшее,* s' i1 l' + n' + e0 j sh / y4 - i4,сильне0йшее
сильно,* s' i0 l' + n + a4,си0льно
сильные,* s' i0 l' + n / y4 j i4,си0льные
сильный,* s' i0 l' + n / y4 j,си0льный
симпатичный,* s' i1 m p a1 t' + i0 ch + n / y4 j,симпати0чный
симпатичным,* s' i1 m p a1 t' + i0 ch n / y4 m,симпати0чным
симпатию,* s' i1 m p a0 t' / i4 j u4,симпа0тию
симптомах,* s' i1 m p t o0 m / a4 h,симпто0мах
симфонии,* s' i1 m f o0 n' i4 / i4,симфо0нии
симфония,* s' i1 m f o0 n' i4 j / a4,симфо0ния
синевато-белые,* s' i1 n' + i1 v a0 t + a4 * b' e0 l / a4 j i4,синева0то-белые
синей,* s' i0 n' / i4 j,си0ней
синие,* s' i0 n' / i4 j i4,си0ние
синий,* s' i0 n' / i4 j,си0ний
синим,* s' i0 n' / i4 m,си0ним
синь,* s' i0 n',си0нь
сирени,* s' i1 r' e0 n' / i4,сире0ни
ситуацию,* s' i1 t u1 a0 c + y4 j / u4,ситуа0цию
ситуация,* s' i1 t u1 a0 c + y4 / j a4,ситуа0ция
сих,* s' / i0 h,си0х
сияют,* s' i1 j a0 / j u4 t,сия0ют
скажет,~ s * k a0 zh / y4 t,ска0жет
скажешь,~ s * k a0 zh / y4 sh,ска0жешь
скажите,~ s * k a1 zh + y0 + t' i4,скажи0те
сказав,~ s * k a1 z + a0 f,сказа0в
сказал,~ - * k a1 z + a0 + l,сказа0л
сказала,~ s * k a1 z + a0 + l / a4,сказа0ла
сказали,~ s * k a1 z + a0 + l' / i4,сказа0ли
сказанного,~ k * a0 z a4 + n - a4 / v a4 l',ска0занного
сказать,~ s * k a1 z + a0 / c,сказа0ть
сказках,~ s * k a0 s + k / a4 h,ска0зках
сказку,~ s * k a0 s + k / u4,ска0зку
скала,* s k a0 l / a4,ска0ла
скамейками,* s k a1 m' + e0 j k / a4 m' i4,скаме0йками
скамейки,* s k a1 m' + e0 j k' / i4,скаме0йки
скандалы,* s k a1 n d a0 l / y4,сканда0лы
скатерть,* s k a0 t' i4 r t',ска0терть
скважину,* s k v a0 zh + y4 n / u4,сква0жину
сквер,* s k v' e0 r,скве0р
скверное,* s k v' e0 r + n / a4 j i4,скве0рное
сквозь,* - k v o0 s',скво0зь
склонив,~ s * k l a1 n' + i0 + v,склони0в
склонился,~ s * k l a1 n' + i0 + l ^ s' a4,склони0лся
сковородке,* s k a2 v a1 r o0 t + k' / i4,сковоро0дке
сковородкой,* s k a2 v a1 r o0 t + k / a4 j,сковоро0дкой
сковородку,* s k a2 v a1 r o0 t + k / u4,сковоро0дку
скользким,~ s * k o0 l' s + k' / i4 m,ско0льзким
сколько,* s k o0 l' k + a4,ско0лько
сконфуженно,~ s * k a1 n f u0 zh + y4 n + a4,сконфу0женно
скончались,~ s * k a1 n ch + a0 + l' / i4 ^ s',сконча0лись
скончался,~ s * k a1 n ch + a0 + l ^ s' a4,сконча0лся
скорее,* s k a1 r' + e0 - i4,скоре0е
скорей,* s k a1 r' + e0 j,скоре0й
скорняк,* s k a1 r + n' a0 k,скорня0к
скоро,* s k o0 r + a4,ско0ро
скорой,* s k o0 r / a4 j,ско0рой
скорость,* s k o0 r + a4 s' t',ско0рость
скоростью,* s k o0 r + a4 s' t' / j u4,ско0ростью
скорую,* s k o0 r / u4 j u4,ско0рую
скребется,* s k r' i1 b' / o0 ^ c a4,скребе0тся
скрипело,* s k r' i1 p' + e0 + l / a4,скрипе0ло
скрипучем,* s k r' i1 p + u0 ch / i4 m,скрипу0чем
скрипучим,* s k r' i1 p + u0 ch / i4 m,скрипу0чим
скромного,~ s * k r o0 m + n / a4 v a4,скро0много
скромности,~ s * k r o0 m + n + a4 s' t' / i4,скро0мности
скромный,~ s * k r o0 m + n / y4 j,скро0мный
скрывает,~ s * k r y1 + v a0 / j i4 t,скрыва0ет
скрывали,~ s * k r y1 + v a0 + l' / i4,скрыва0ли
скрываться,~ s * k r y1 + v a0 ^ c a4,скрыва0ться
скрывают,~ s * k r y1 + v a0 / j u4 t,скрыва0ют
скрытую,~ s * k r y0 + t / u4 j u4,скры0тую
скрытых,~ s * k r y0 + t / y4 h,скры0тых
скрюченный,~ s * k r' u0 ch + i4 n / y4 j,скрю0ченный
скуки,* s k u0 k' / i4,ску0ки
скулах,* s k u0 l / a4 h,ску0лах
скуле,* s k u0 l' / i4,ску0ле
слабодушие,* s l a2 b = a1 * d u0 sh / y4 j i4,слабоду0шие
слабое,* s l a0 b / a4 j i4,сла0бое
слабой,* s l a0 b / a4 j,сла0бой
слабостей,* s l a0 b + a4 s' t' / i4 -,сла0бостей
слабость,* s l a0 b + a4 s' t',сла0бость
слева,~ s * l' e0 v + a4,сле0ва
слег,~ s * l' e0 k,сле0г
следит,* s l' i1 d' / i0 t,следи0т
следов,* s l' i1 d / o0 f,следо0в
следовали,* s l' e0 d + a4 v a4 + l' / i4,сле0довали
следовало,* s l' e0 d + a4 v a4 + l / a4,сле0довало
следовать,* s l' e0 d + a4 v a4 / t',сле0довать
следует,* s l' e0 d + u4 / j i4 d,сле0дует
следующий,* s l' e0 d + u4 + j u4 sc / i4 j,сле0дующий
следующую,* l' e0 d u4 + j + u4 sc - / j u4 u4,сле0дующую
слез,* s l' o0 s,сле0з
слезы,* s l' e0 z / y4,сле0зы
слетела,~ s * l' i1 t' + e0 + l / a4,слете0ла
слетело,~ s * l' i1 t' + e0 + l / a4,слете0ло
слишком,~ s * l' i0 sh + k / a4 m,сли0шком
слов,* s l o0 f,сло0в
слова,* l a1 v a0 / s,слова0
словами,* s l a1 v / a0 m' i4,слова0ми
словно,* s l o0 v + n + a4,сло0вно
слово,* l o0 v a4 / n',сло0во
словом,* s l o0 v / a4 m,сло0вом
слоги,~ s * l o0 g' / i4,сло0ги
сложены,~ s * l o0 zh + y4 n / y4,сло0жены
сломал,~ s * l a1 m + a0 + l,слома0л
слоновая,* s l a1 n + o0 v / a4 j a4,слоно0вая
слоями,* s l a1 j / a0 m' i4,слоя0ми
служебный,* s l u1 zh e0 b + n / y4 j,служе0бный
служивший,* s l u1 zh + y0 + f sh / y4 j,служи0вший
служившую,* s l u1 zh + y0 + f sh / - - -,служи0вшую
служит,* s l u0 zh / y4 t,слу0жит
слух,* s l u0 h,слу0х
слуха,* s l u0 h / a4,слу0ха
слухом,* s l u0 h / a4 m,слу0хом
случае,* s l u0 ch + a4 - / i4,слу0чае
случаи,* s l u0 ch a4 / i4,слу0чаи
случай,* s l u0 ch + i4 j,слу0чай
случайно,* l u1 ch a0 + j n + a4 + p,случа0йно
случайные,* s l u1 ch + a0 j + n / y4 j i4,случа0йные
случалось,* s l u1 ch + a0 + l + a4 / s',случа0лось
случаях,* s l u0 ch + i4 j / i4 h,слу0чаях
случилась,* s l u1 ch + i0 + l / a4 ^ s',случи0лась
случилось,* s l u1 ch + i0 + l / a4 ^ s',случи0лось
случиться,* s l u1 ch + i0 ^ c a4,случи0ться
слушаешь,* s l u0 sh + a4 / j i4 sh,слу0шаешь
слушай,* s l u0 sh + a4 + j,слу0шай
слушал,* s l u0 sh + a4 + l,слу0шал
слушала,* s l u0 sh + a4 + l / a4,слу0шала
слушали,* s l u0 sh + a4 + l' / i4,слу0шали
слушать,* s l u0 sh + a4 / d',слу0шать
слышал,* - l y0 sh + a4 + l,слы0шал
слышала,* s l y0 sh + a4 + l / a4,слы0шала
слышали,* s l y0 sh + a4 + l' / i4,слы0шали
слышанные,* s l y0 sh + a4 + n / y4 j i4,слы0шанные
слышат,* s l y0 sh / a4 t,слы0шат
слышать,* s l y0 sh + a4 / t',слы0шать
слышит,* s l y0 sh / y4 t,слы0шит
слышишь,* s l y0 sh / y4 sh,слы0шишь
слышно,* s l y0 sh + n / a4,слы0шно
слышу,* s l y0 sh / u4,слы0шу
смазал,~ s * m a0 z + a4 + l,сма0зал
смастерил,~ s * m a2 s' t' i1 r' + i0 + l,смастери0л
смеется,* s m' i1 / j o0 ^ c a4,смее0тся
смела,* s m' e0 l / a4,сме0ла
смелое,* s m' e0 l / a4 j i4,сме0лое
смелый,* s m' e0 l / y4 j,сме0лый
смена,~ s * m' e0 n / a4,сме0на
сменить,~ s * m' i1 n' + i0 / d',смени0ть
смеркла,~ s * m' e0 r k + l / a4,сме0ркла
смеркло,~ s * m' e0 r k + l + a4,сме0ркло
смертельно,~ s * m' i1 r + t' e0 l' + n + a4,смерте0льно
смерти,~ s * m' e0 r t' / i4,сме0рти
смертных,~ s * m' e0 r t + n / y4 h,сме0ртных
смерть,~ s * m' e0 r + d',сме0рть
смешливый,* s m' i1 sh + l' i0 v / y4 j,смешли0вый
смешного,* s m' i1 + sh + n / o0 v a4,смешно0го
смешное,* s m' i1 + sh + n / o0 j i4,смешно0е
смешной,* s m' i1 + sh + n / o0 j,смешно0й
смешные,* s m' i1 + sh + n / y0 j i4,смешны0е
смешок,* s m' i1 + sh + o0 k,смешо0к
смеясь,* s m' i1 + j a0 ^ s',смея0сь
смирилась,~ s * m' i1 r' + i0 + l / a4 ^ s,смири0лась
смирились,~ s * m' i1 r' + i0 + l' / i4 ^ s',смири0лись
смог,~ s * m o0 g,смо0г
сможет,~ s * m o0 zh / y4 d,смо0жет
сможешь,~ s * m o0 zh / y4 sh,смо0жешь
сморкалась,* s m a1 r k + a0 + l / a4 ^ s',сморка0лась
смотрел,*s m a1 t r' + e0 + l,смотре0л
смотрела,* s m a1 t r' + e0 + l / a4,смотре0ла
смотрели,* - m a1 t r' + e0 + l' / i4,смотре0ли
смотреть,* - m a1 t r' + e0 / t',смотре0ть
смотрит,* s m o0 t r' / i4 t,смо0трит
смутно,~ s * m u0 t + n + a4,сму0тно
смысла,~ s * m y0 s l / a4,смы0сла
смысле,~ s * m y0 s l' / i4,смы0сле
смыслил,~ s * m y0 s l' + i4 + l,смы0слил
смягчилась,~ s * m' i1 h + ch + i0 + l / a4 ^ s',смягчи0лась
сначала,~ s * n a1 ch a0 l + a4,снача0ла
снег,* s n' e0 k,сне0г
снегом,* s n' e0 g / a4 m,сне0гом
сник,~ s * n' i0 k,сни0к
снимали,~ s n' * i1 m + a0 + l' / i4,снима0ли
сниткин,* s n' i0 t k + i4 n,сни0ткин
сниткина,* s n' i0 t k' + i4 n / a4,сни0ткина
сниткину,* s n' i0 t k' + i4 n / u4,сни0ткину
сниткиных,* s n' i0 t k' + i4 n / y4 h,сни0ткиных
снова,~ - * n o0 v + a4,сно0ва
сном,* s n / o0 m,сно0м
снял,~ s * n' + a0 + l,сня0л
сняли,~ s * n' + a0 + l' / i4,сня0ли
снятия,~ s * n' + a0 + t' i4 j / a4,сня0тия
снять,~ s * n' + a0 / t',сня0ть
собаку,* s a1 b a0 k / u4,соба0ку
собачками,* s a1 b a0 ch + k / a4 m' i4,соба0чками
собачья,* s a1 b a0 ch + j / a4,соба0чья
соберутся,~ s a2 * b' i1 r / u0 ^ c a4,соберу0тся
собиралась,~ s a2 * b' i1 r + a0 + l / a4 ^ s',собира0лась
собирались,~ s a2 * b' i1 r + a0 + l' / i4 ^ s',собира0лись
собирался,~ s a2 * b' i1 r + a0 + l ^ s' a4,собира0лся
собираюсь,~ s a2 * b' i1 r + a0 / j u4 ^ s',собира0юсь
собой,* s a1 b / o0 j,собо0й
собора,~ s a1 * b o0 r / a4,собо0ра
собрали,~ s a1 * b r + a0 + l' / i4,собра0ли
собрались,~ s a2 * b r + a1 + l' / i0 ^ s',собрали0сь
собрание,~ s a1 * b r + a0 + n' i4 j / i4,собра0ние
собраний,~ s a1 * b r + a0 + n' i4 j,собра0ний
собрания,~ s a1 * b r + a0 + n' i4 j / a4,собра0ния
собственная,* s o0 p + s t v' + i4 n - / a4 j a4,со0бственная
собственно,* s o0 p + s t v' + i4 n + a4,со0бственно
собственного,* s o0 p s t v' + i4 n / a4 v a4,со0бственного
собственной,* s o0 p + s t v' + i4 n - / a4 j,со0бственной
собственный,* s o0 p + s t v' + i4 n / y4 -,со0бственный
собственных,* s o0 p s t v' + i4 n / y4 h,со0бственных
события,~ s a1 * b y0 t' + i4 j / a4,собы0тия
совершеннейшей,~ s a2 * v' i1 r sh + e0 n' + i4 j sh / y4 j,соверше0ннейшей
совершенно,~ s a2 * v' i1 r sh + e0 n - + a4,соверше0нно
совершенны,~ s a2 * v' i1 r sh + e0 n - / y4,соверше0нны
совести,* s o0 v' i4 s' t' / i4,со0вести
советов,* s a1 v' e0 t / a4 f,сове0тов
советовал,* s a1 v' e0 t + a4 v - + l,сове0товал
советовали,* s a1 v' e0 t + a4 v a4 + l' / i4,сове0товали
советом,* s a1 v' e0 t / a4 m,сове0том
советует,* s a1 v' e0 t + u4 / - i4 t,сове0тует
совместном,~ s a1 ~ v * m' e0 s + n / a4 m,совме0стном
совпадает,~ s a2 ~ f * p a1 d + a0 / j i4 t,совпада0ет
соврал,~ s a1 * v r a0 + l,совра0л
соврать,~ s a1 * v r a0 / t',совра0ть
современной,~ s a2 * v r' i1 m' + e0 + n / a4 j,совреме0нной
совсем,* s a1 f s' e0 m,совсе0м
согласен,~ s a1 * g l a0 s' + - n,согла0сен
согласии,~ s a1 * g l a0 s' / i4 i4,согла0сии
согласилась,~ s a2 * g l a1 s' + i0 + l / a4 ^ s',согласи0лась
согласился,~ s a2 * g l a1 s' + i0 + l ^ s' a4,согласи0лся
согласиться,~ s a2 * g l a1 s' + i0 ^ c a4,согласи0ться
согласна,~ s a1 * g l a0 s + n / a4,согла0сна
соглашался,~ s a2 * g l a1 sh + a0 + l ^ s' a4,соглаша0лся
соглашаюсь,~ s a2 * g l a1 sh + a0 / j u4 ^ s',соглаша0юсь
согнал,~ s a1 * g n + a0 + l,согна0л
содействовала,~ a4 s * a1 d' e0 + j s t + v a4 v + a4 / l,содейство0вала
содержание,~ s a2 * d' i1 r zh + a0 + n' i4 - / i4,содержа0ние
содрогалась,~ s a2 * d r a1 g + a0 + l / a4 ^ s',содрога0лась
соединиться,~ a2 j * i1 d' i1 n' + i0 / c ^ - a4,соедини0ться
сожалению,* s a2 zh a1 l' + e0 n' i4 j / u4,сожале0нию
создается,~ s a2 * z d a1 / j o0 ^ c a4,создае0тся
создание,~ s a1 * z d + a0 + n' i4 j / i4,созда0ние
сознался,~ s a1 * z n a0 + l ^ s' a4,созна0лся
сознание,~ s a1 * z n a0 + n' i4 - / i4,созна0ние
сознания,~ s a1 * z n + a0 + n' i4 j / a4,созна0ния
сократить,~ s a2 * k r a1 t' + i0 / t',сократи0ть
сокровища,~ s a1 * k r o0 v' + i4 sc / a4,сокро0вища
солидарности,* s a2 l' i1 d a0 r + n + a4 s' t' / i4,солида0рности
солидные,* a1 l' i0 d n y4 / j i4 l',соли0дные
солнца,* s o0 n + c / a4,со0лнца
солнце,* s o0 n + c / y4,со0лнце
солнцем,* s o0 n + c / y4 m,со0лнцем
солнцепек,* s a2 n + c = y1 * p' o0 k,солнцепе0к
сомкнулись,~ s a1 * m k + n u0 + l' / i4 ^ s',сомкну0лись
сомнений,~ s a1 * m n' + e0 n' i4 j,сомне0ний
сомнения,* s a1 m n' + e0 n' i4 j / a4,сомне0ния
сон,* s o0 n,со0н
сонно,* s o0 n + - + a4,со0нно
соображает,~ s a2 ~ a2 b * r a1 zh + a0 / j i4 t,сообража0ет
соображал,~ s a2 ~ a2 b * r a1 zh + a0 + l,сообража0л
соображала,~ s a2 ~ a1 b * r a1 zh + a0 l / a4,сообража0ла
сообразил,~ s a2 ~ a2 b * r a1 z' / i0 / l,сообрази0л
сообразили,~ s a2 * a2 b r a1 z' + i0 + l' / i4,сообрази0ли
сообразительная,~ s a2 * a2 b r a1 z' + i0 + t' i4 l' + n / a4 j a4,сообрази0тельная
сообразительный,~ s a2 * a2 b r a1 z' + i0 + t' i4 l' + n / y4 j,сообрази0тельный
сообщала,~ s a2 * a1 p sc + a0 + l / a4,сообща0ла
сообщать,~ s a2 * a1 p sc + a0 / t',сообща0ть
сообщения,~ s a2 * a1 p sc + e0 n' i4 j / a4,сообще0ния
сообщил,~ s a2 * a1 p sc + i0 + l,сообщи0л
сообщила,~ s a2 * a1 p sc + i0 + l / a4,сообщи0ла
сообщить,~ s a2 * a1 p sc + i0 / t',сообщи0ть
сопровождаемые,~ s a2 ~ p r a2 * v a1 zh d + a0 + - i4 m / y4 - i4,сопровожда0емые
сопротивление,~ s a2 * p r a2 t' i1 v + l' + e0 n' i4 - / i4,сопротивле0ние
сопротивлялся,~ s a2 * p r a2 t' i1 v + l' + a0 + l ^ s' a4,сопротивля0лся
сорок,* s a1 r o0 k,соро0к
сороковки,* s a2 r a1 k + o0 f k' / i4,сороко0вки
сорокового,* s a2 r a2 k + a1 v / o0 v a4,сороково0го
сосед,~ s a1 * s' e0 t,сосе0д
соседей,~ s a1 * s' e0 d' / i4 j,сосе0дей
соседи,~ s a1 * s' e0 d' / i4,сосе0ди
соседка,~ s a1 * s' e0 t + k / a4,сосе0дка
соседки,~ s a1 * s' e0 t + k' / i4,сосе0дки
соседнего,~ s a1 * s' e0 d + n' / i4 v a4,сосе0днего
соседней,* s a1 s' e0 d + n' / i4 j,сосе0дней
соседнюю,~ s a1 * s' e0 d + n' / i4 j u4,сосе0днюю
соседями,* s a1 s' e0 d' / a4 m' i4,сосе0дями
сосен,* s o0 s' i4 n,со0сен
соскочили,~ s a2 * s k a1 ch + i0 + l' / i4,соскочи0ли
сослуживцам,~ s a2 * s l u1 zh + y0 f + c / a4 m,сослужи0вцам
сослуживцы,~ s a2 * s l u1 zh + y0 f + c / y4,сослужи0вцы
соснами,* s o0 s n / a4 m' i4,со0снами
сосновая,* s - - n + o0 v a4 / j a4,со0сновая
сосредоточенно,~ s a2 * s r' i1 d a1 t o0 ch + i4 n + a4,сосредото0ченно
составлении,* s a2 s t a1 v l' + e0 n' i4 / i4,составле0нии
состоит,~ s a2 * s t a1 / i0 t,состои0т
состоялся,~ s a2 * s t a1 + j a0 + l ^ s' a4,состоя0лся
состояние,~ s a2 * s t a1 + j a0 + n' i4 - / i4,состоя0ние
состоянии,~ s a2 * s t a1 + j a0 + n' i4 / i4,состоя0нии
состоянию,~ s a2 * s t a1 + j a0 + n' i4 j / u4,состоя0нию
состояния,~ s a2 * s t a1 + j a0 + n' i4 - / i4,состоя0ния
сосудов,~ s a1 * s u0 d / a4 f,сосу0дов
сот,* s o0 t,со0т
сотниковой,* s o0 t + n' + i1 k + a4 v / a4 j,со0тниковой
сотрудникам,~ s a1 * t r u0 d + n' i4 k / a4 m,сотру0дникам
сохнет,* s o0 h + n' / i4 -,со0хнет
сохранившийся,~ s a2 * h r a1 n' + i0 + f sh / y4 j ^ s' a4,сохрани0вшийся
сохранилось,~ s a2 * h r a1 n' + i0 + l / a4 ^ s',сохрани0лось
сочинением,* s a2 ch i1 n' + e0 n' i4 j / i4 m,сочине0нием
сочинения,~ s a2 * ch i1 n' + e0 n' i4 j / a4,сочине0ния
сочинил,~ s a2 * ch i1 n' + i0 + l,сочини0л
сочинял,* s a2 ch i1 n' + a0 + l,сочиня0л
сочувствие,~ - a1 * ch u0 + s t v' + i4 - / i4,сочу0вствие
